18        0.324049    0.483035    0.853333  0.808418      00:19     
19        0.340073    0.464828    0.848056  0.809607      00:17     
0         0.544371    0.460224    0.811667  0.767010      00:18     
1         0.517330    0.451847    0.830556  0.791951      00:19     
2         0.491000    0.434822    0.845000  0.797826      00:19     
3         0.528754    0.442694    0.840556  0.798030      00:17     
4         0.496664    0.435144    0.835000  0.799730      00:18     
5         0.474359    0.446002    0.828611  0.796839      00:18     
6         0.428421    0.439943    0.834167  0.798922      00:19     
7         0.421948    0.432286    0.850278  0.803643      00:18     
8         0.423869    0.443431    0.848333  0.804020      00:18     
9         0.394164    0.463120    0.843056  0.801963      00:19     
10        0.406103    0.455227    0.847222  0.807153      00:18     
11        0.362622    0.451376    0.841389  0.802217      00:18     
12        0.349518    0.457394    0.851111  0.813110      00:19     
13        0.335393    0.454527    0.853333  0.810617      00:19     
14        0.331048    0.460839    0.848056  0.808674      00:19     
15        0.337919    0.465914    0.850833  0.808829      00:18     
16        0.327035    0.478259    0.853611  0.808572      00:19     
17        0.315996    0.484391    0.850000  0.806174      00:20     
18        0.327565    0.474116    0.856944  0.811286      00:20     
19        0.346165    0.462582    0.845556  0.806137      00:18     
0         0.547058    0.459420    0.816389  0.768314      00:18     
1         0.518656    0.461592    0.822222  0.786951      00:19     
2         0.497735    0.433071    0.844167  0.798708      00:19     
3         0.529568    0.441219    0.848333  0.795812      00:18     
4         0.496656    0.441013    0.831389  0.797193      00:18     
5         0.472199    0.436618    0.835000  0.802527      00:18     
6         0.426512    0.431663    0.843889  0.806474      00:19     
7         0.423316    0.446622    0.844722  0.809280      00:18     
8         0.421693    0.453782    0.851111  0.806638      00:18     
9         0.393685    0.450286    0.844167  0.807415      00:19     
10        0.406507    0.447223    0.844167  0.806618      00:17     
11        0.369243    0.432683    0.855556  0.813887      00:19     
12        0.353520    0.446278    0.853056  0.813140      00:19     
13        0.341022    0.450626    0.854444  0.810830      00:18     
14        0.336090    0.445666    0.857222  0.816034      00:19     
15        0.332797    0.455124    0.855278  0.814393      00:18     
16        0.326984    0.460441    0.858056  0.813843      00:19     
